Node,NumThreads,Load,Algorithm,Time
B,1,100,Algoritmo_1, 0.004557 

B,1,100,Algoritmo_1, 0.006586 

B,1,100,Algoritmo_1, 0.006113 

B,1,100,Algoritmo_1, 0.005982 

B,1,100,Algoritmo_1, 0.006633 

B,1,100,Algoritmo_1, 0.005150 

B,1,100,Algoritmo_1, 0.004560 

B,1,100,Algoritmo_1, 0.007113 

B,1,100,Algoritmo_1, 0.007864 

B,1,100,Algoritmo_1, 0.007871 

B,1,100,Algoritmo_1, 0.006721 

B,1,100,Algoritmo_1, 0.004552 

B,1,100,Algoritmo_1, 0.004580 

B,1,100,Algoritmo_1, 0.007325 

B,1,100,Algoritmo_1, 0.008526 

B,1,100,Algoritmo_1, 0.006772 

B,1,100,Algoritmo_1, 0.007806 

B,1,100,Algoritmo_1, 0.004567 

B,1,100,Algoritmo_1, 0.008574 

B,1,100,Algoritmo_1, 0.007630 

B,1,100,Algoritmo_1, 0.004587 

B,1,100,Algoritmo_1, 0.004553 

B,1,100,Algoritmo_1, 0.006594 

B,1,100,Algoritmo_1, 0.007847 

B,1,100,Algoritmo_1, 0.007902 

B,1,100,Algoritmo_1, 0.006259 

B,1,100,Algoritmo_1, 0.004535 

B,1,100,Algoritmo_1, 0.004535 

B,1,100,Algoritmo_1, 0.004537 

B,1,100,Algoritmo_1, 0.004543 

B,1,100,Algoritmo_1, 0.007875 

B,1,100,Algoritmo_1, 0.004541 

B,1,100,Algoritmo_1, 0.004566 

B,1,100,Algoritmo_1, 0.004550 

B,1,100,Algoritmo_1, 0.006735 

B,1,100,Algoritmo_1, 0.007893 

B,2,100,Algoritmo_1, 0.004141 

B,2,100,Algoritmo_1, 0.003610 

B,2,100,Algoritmo_1, 0.003456 

B,2,100,Algoritmo_1, 0.004092 

B,2,100,Algoritmo_1, 0.004166 

B,2,100,Algoritmo_1, 0.004136 

B,2,100,Algoritmo_1, 0.004112 

B,2,100,Algoritmo_1, 0.003381 

B,2,100,Algoritmo_1, 0.004087 

B,2,100,Algoritmo_1, 0.003766 

B,2,100,Algoritmo_1, 0.003448 

B,2,100,Algoritmo_1, 0.003088 

B,2,100,Algoritmo_1, 0.002434 

B,2,100,Algoritmo_1, 0.003549 

B,2,100,Algoritmo_1, 0.002467 

B,2,100,Algoritmo_1, 0.002449 

B,2,100,Algoritmo_1, 0.004093 

B,2,100,Algoritmo_1, 0.004121 

B,2,100,Algoritmo_1, 0.003570 

B,2,100,Algoritmo_1, 0.003394 

B,2,100,Algoritmo_1, 0.004115 

B,2,100,Algoritmo_1, 0.004082 

B,2,100,Algoritmo_1, 0.003327 

B,2,100,Algoritmo_1, 0.003330 

B,2,100,Algoritmo_1, 0.003233 

B,2,100,Algoritmo_1, 0.002375 

B,2,100,Algoritmo_1, 0.004060 

B,2,100,Algoritmo_1, 0.003490 

B,2,100,Algoritmo_1, 0.003365 

B,2,100,Algoritmo_1, 0.002527 

B,2,100,Algoritmo_1, 0.002456 

B,2,100,Algoritmo_1, 0.002381 

B,2,100,Algoritmo_1, 0.002408 

B,2,100,Algoritmo_1, 0.004070 

B,2,100,Algoritmo_1, 0.003825 

B,2,100,Algoritmo_1, 0.003510 

B,4,100,Algoritmo_1, 0.002191 

B,4,100,Algoritmo_1, 0.001858 

B,4,100,Algoritmo_1, 0.002011 

B,4,100,Algoritmo_1, 0.002003 

B,4,100,Algoritmo_1, 0.001984 

B,4,100,Algoritmo_1, 0.002051 

B,4,100,Algoritmo_1, 0.001844 

B,4,100,Algoritmo_1, 0.001972 

B,4,100,Algoritmo_1, 0.001835 

B,4,100,Algoritmo_1, 0.001928 

B,4,100,Algoritmo_1, 0.002036 

B,4,100,Algoritmo_1, 0.002058 

B,4,100,Algoritmo_1, 0.002079 

B,4,100,Algoritmo_1, 0.001967 

B,4,100,Algoritmo_1, 0.002042 

B,4,100,Algoritmo_1, 0.002007 

B,4,100,Algoritmo_1, 0.002031 

B,4,100,Algoritmo_1, 0.002017 

B,4,100,Algoritmo_1, 0.002051 

B,4,100,Algoritmo_1, 0.002009 

B,4,100,Algoritmo_1, 0.001969 

B,4,100,Algoritmo_1, 0.001999 

B,4,100,Algoritmo_1, 0.001959 

B,4,100,Algoritmo_1, 0.001821 

B,4,100,Algoritmo_1, 0.001846 

B,4,100,Algoritmo_1, 0.001891 

B,4,100,Algoritmo_1, 0.001865 

B,4,100,Algoritmo_1, 0.001869 

B,4,100,Algoritmo_1, 0.002008 

B,4,100,Algoritmo_1, 0.001981 

B,4,100,Algoritmo_1, 0.002012 

B,4,100,Algoritmo_1, 0.001939 

B,4,100,Algoritmo_1, 0.001988 

B,4,100,Algoritmo_1, 0.001937 

B,4,100,Algoritmo_1, 0.002064 

B,4,100,Algoritmo_1, 0.001873 

B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,8,100,Algoritmo_1,El número de hilos debe ser menor o igual a 6
B,1,100,Algoritmo_2, 0.005833 

B,1,100,Algoritmo_2, 0.008209 

B,1,100,Algoritmo_2, 0.006781 

B,1,100,Algoritmo_2, 0.005114 

B,1,100,Algoritmo_2, 0.004673 

B,1,100,Algoritmo_2, 0.008103 

B,1,100,Algoritmo_2, 0.006744 

B,1,100,Algoritmo_2, 0.004923 

B,1,100,Algoritmo_2, 0.004719 

B,1,100,Algoritmo_2, 0.004686 

B,1,100,Algoritmo_2, 0.004676 

B,1,100,Algoritmo_2, 0.004693 

B,1,100,Algoritmo_2, 0.004688 

B,1,100,Algoritmo_2, 0.004677 

B,1,100,Algoritmo_2, 0.004708 

B,1,100,Algoritmo_2, 0.004694 

B,1,100,Algoritmo_2, 0.004686 
