Node,NumThreads,Load,Algorithm,Time
B,1,100,Algoritmo_1,4.557
,,,,
B,1,100,Algoritmo_1,6.586
,,,,
B,1,100,Algoritmo_1,6.113
,,,,
B,1,100,Algoritmo_1,5.982
,,,,
B,1,100,Algoritmo_1,6.633
,,,,
B,1,100,Algoritmo_1,5.150
,,,,
B,1,100,Algoritmo_1,4.560
,,,,
B,1,100,Algoritmo_1,7.113
,,,,
B,1,100,Algoritmo_1,7.864
,,,,
B,1,100,Algoritmo_1,7.871
,,,,
B,1,100,Algoritmo_1,6.721
,,,,
B,1,100,Algoritmo_1,4.552
,,,,
B,1,100,Algoritmo_1,4.580
,,,,
B,1,100,Algoritmo_1,7.325
,,,,
B,1,100,Algoritmo_1,8.526
,,,,
B,1,100,Algoritmo_1,6.772
,,,,
B,1,100,Algoritmo_1,7.806
,,,,
B,1,100,Algoritmo_1,4.567
,,,,
B,1,100,Algoritmo_1,8.574
,,,,
B,1,100,Algoritmo_1,7.630
,,,,
B,1,100,Algoritmo_1,4.587
,,,,
B,1,100,Algoritmo_1,4.553
,,,,
B,1,100,Algoritmo_1,6.594
,,,,
B,1,100,Algoritmo_1,7.847
,,,,
B,1,100,Algoritmo_1,7.902
,,,,
B,1,100,Algoritmo_1,6.259
,,,,
B,1,100,Algoritmo_1,4.535
,,,,
B,1,100,Algoritmo_1,4.535
,,,,
B,1,100,Algoritmo_1,4.537
,,,,
B,1,100,Algoritmo_1,4.543
,,,,
B,1,100,Algoritmo_1,7.875
,,,,
B,1,100,Algoritmo_1,4.541
,,,,
B,1,100,Algoritmo_1,4.566
,,,,
B,1,100,Algoritmo_1,4.550
,,,,
B,1,100,Algoritmo_1,6.735
,,,,
B,1,100,Algoritmo_1,7.893
,,,,
B,2,100,Algoritmo_1,4.141
,,,,
B,2,100,Algoritmo_1,3.610
,,,,
B,2,100,Algoritmo_1,3.456
,,,,
B,2,100,Algoritmo_1,4.092
,,,,
B,2,100,Algoritmo_1,4.166
,,,,
B,2,100,Algoritmo_1,4.136
,,,,
B,2,100,Algoritmo_1,4.112
,,,,
B,2,100,Algoritmo_1,3.381
,,,,
B,2,100,Algoritmo_1,4.087
,,,,
B,2,100,Algoritmo_1,3.766
,,,,
B,2,100,Algoritmo_1,3.448
,,,,
B,2,100,Algoritmo_1,3.088
,,,,
B,2,100,Algoritmo_1,2.434
,,,,
B,2,100,Algoritmo_1,3.549
,,,,
B,2,100,Algoritmo_1,2.467
,,,,
B,2,100,Algoritmo_1,2.449
,,,,
B,2,100,Algoritmo_1,4.093
,,,,
B,2,100,Algoritmo_1,4.121
,,,,
B,2,100,Algoritmo_1,3.570
,,,,
B,2,100,Algoritmo_1,3.394
,,,,
B,2,100,Algoritmo_1,4.115
,,,,
B,2,100,Algoritmo_1,4.082
,,,,
B,2,100,Algoritmo_1,3.327
,,,,
B,2,100,Algoritmo_1,3.330
,,,,
B,2,100,Algoritmo_1,3.233
,,,,
B,2,100,Algoritmo_1,2.375
,,,,
B,2,100,Algoritmo_1,4.060
,,,,
B,2,100,Algoritmo_1,3.490
,,,,
B,2,100,Algoritmo_1,3.365
,,,,
B,2,100,Algoritmo_1,2.527
,,,,
B,2,100,Algoritmo_1,2.456
,,,,
B,2,100,Algoritmo_1,2.381
,,,,
B,2,100,Algoritmo_1,2.408
,,,,
B,2,100,Algoritmo_1,4.070
,,,,
B,2,100,Algoritmo_1,3.825
,,,,
B,2,100,Algoritmo_1,3.510
,,,,
B,4,100,Algoritmo_1,2.191
,,,,
B,4,100,Algoritmo_1,1.858
,,,,
B,4,100,Algoritmo_1,2.011
,,,,
B,4,100,Algoritmo_1,2.003
,,,,
B,4,100,Algoritmo_1,1.984
,,,,
B,4,100,Algoritmo_1,2.051
,,,,
B,4,100,Algoritmo_1,1.844
,,,,
B,4,100,Algoritmo_1,1.972
,,,,
B,4,100,Algoritmo_1,1.835
,,,,
B,4,100,Algoritmo_1,1.928
,,,,
B,4,100,Algoritmo_1,2.036
,,,,
B,4,100,Algoritmo_1,2.058
,,,,
B,4,100,Algoritmo_1,2.079
,,,,
B,4,100,Algoritmo_1,1.967
,,,,
B,4,100,Algoritmo_1,2.042
,,,,
B,4,100,Algoritmo_1,2.007
,,,,
B,4,100,Algoritmo_1,2.031
,,,,
B,4,100,Algoritmo_1,2.017
,,,,
B,4,100,Algoritmo_1,2.051
,,,,
B,4,100,Algoritmo_1,2.009
,,,,
B,4,100,Algoritmo_1,1.969
,,,,
B,4,100,Algoritmo_1,1.999
,,,,
B,4,100,Algoritmo_1,1.959
,,,,
B,4,100,Algoritmo_1,1.821
,,,,
B,4,100,Algoritmo_1,1.846
,,,,
B,4,100,Algoritmo_1,1.891
,,,,
B,4,100,Algoritmo_1,1.865
,,,,
B,4,100,Algoritmo_1,1.869
,,,,
B,4,100,Algoritmo_1,2.008
,,,,
B,4,100,Algoritmo_1,1.981
,,,,
B,4,100,Algoritmo_1,2.012
,,,,
B,4,100,Algoritmo_1,1.939
,,,,
B,4,100,Algoritmo_1,1.988
,,,,
B,4,100,Algoritmo_1,1.937
,,,,
B,4,100,Algoritmo_1,2.064
,,,,
B,4,100,Algoritmo_1,1.873
,,,,
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,8,100,Algoritmo_1,0
B,1,100,Algoritmo_2,5.833
,,,,
B,1,100,Algoritmo_2,8.209
,,,,
B,1,100,Algoritmo_2,6.781
,,,,
B,1,100,Algoritmo_2,5.114
,,,,
B,1,100,Algoritmo_2,4.673
,,,,
B,1,100,Algoritmo_2,8.103
,,,,
B,1,100,Algoritmo_2,6.744
,,,,
B,1,100,Algoritmo_2,4.923
,,,,
B,1,100,Algoritmo_2,4.719
,,,,
B,1,100,Algoritmo_2,4.686
,,,,
B,1,100,Algoritmo_2,4.676
,,,,
B,1,100,Algoritmo_2,4.693
,,,,
B,1,100,Algoritmo_2,4.688
,,,,
B,1,100,Algoritmo_2,4.677
,,,,
B,1,100,Algoritmo_2,4.708
,,,,
B,1,100,Algoritmo_2,4.694
,,,,
B,1,100,Algoritmo_2,4.686
,,,,
B,1,100,Algoritmo_2,4.681
,,,,
B,1,100,Algoritmo_2,4.663
,,,,
B,1,100,Algoritmo_2,4.693
,,,,
B,1,100,Algoritmo_2,4.686
,,,,
B,1,100,Algoritmo_2,4.672
,,,,
B,1,100,Algoritmo_2,5.827
,,,,
B,1,100,Algoritmo_2,7.111
,,,,
B,1,100,Algoritmo_2,7.986
,,,,
B,1,100,Algoritmo_2,4.665
,,,,
B,1,100,Algoritmo_2,4.688
,,,,
B,1,100,Algoritmo_2,5.089
,,,,
B,1,100,Algoritmo_2,4.690
,,,,
B,1,100,Algoritmo_2,8.133
,,,,
B,1,100,Algoritmo_2,7.499
,,,,
B,1,100,Algoritmo_2,4.672
,,,,
B,1,100,Algoritmo_2,4.680
,,,,
B,1,100,Algoritmo_2,4.677
,,,,
B,1,100,Algoritmo_2,4.685
,,,,
B,1,100,Algoritmo_2,7.684
,,,,
B,2,100,Algoritmo_2,3.609
,,,,
