Node,NumThreads,Load,Algorithm,Time
C,1,100,Algoritmo_1,2.581
C,1,100,Algoritmo_1,2.649
C,1,100,Algoritmo_1,2.589
C,1,100,Algoritmo_1,2.624
C,1,100,Algoritmo_1,2.631
C,1,100,Algoritmo_1,2.589
C,1,100,Algoritmo_1,2.607
C,1,100,Algoritmo_1,2.590
C,1,100,Algoritmo_1,2.613
C,1,100,Algoritmo_1,2.595
C,1,100,Algoritmo_1,2.619
C,1,100,Algoritmo_1,2.590
C,1,100,Algoritmo_1,2.589
C,1,100,Algoritmo_1,2.604
C,1,100,Algoritmo_1,2.615
C,1,100,Algoritmo_1,2.591
C,1,100,Algoritmo_1,2.591
C,1,100,Algoritmo_1,2.585
C,1,100,Algoritmo_1,2.587
C,1,100,Algoritmo_1,2.605
C,1,100,Algoritmo_1,2.598
C,1,100,Algoritmo_1,2.591
C,1,100,Algoritmo_1,2.610
C,1,100,Algoritmo_1,2.581
C,1,100,Algoritmo_1,2.579
C,1,100,Algoritmo_1,2.586
C,1,100,Algoritmo_1,2.578
C,1,100,Algoritmo_1,2.589
C,1,100,Algoritmo_1,2.582
C,1,100,Algoritmo_1,2.582
C,1,100,Algoritmo_1,2.606
C,1,100,Algoritmo_1,2.610
C,1,100,Algoritmo_1,2.623
C,1,100,Algoritmo_1,2.591
C,1,100,Algoritmo_1,2.590
C,1,100,Algoritmo_1,2.587
C,2,100,Algoritmo_1,1.371
C,2,100,Algoritmo_1,1.364
C,2,100,Algoritmo_1,1.353
C,2,100,Algoritmo_1,1.318
C,2,100,Algoritmo_1,1.356
C,2,100,Algoritmo_1,1.369
C,2,100,Algoritmo_1,1.355
C,2,100,Algoritmo_1,1.356
C,2,100,Algoritmo_1,1.376
C,2,100,Algoritmo_1,1.349
C,2,100,Algoritmo_1,1.353
C,2,100,Algoritmo_1,1.357
C,2,100,Algoritmo_1,1.351
C,2,100,Algoritmo_1,1.360
C,2,100,Algoritmo_1,1.331
C,2,100,Algoritmo_1,1.352
C,2,100,Algoritmo_1,1.353
C,2,100,Algoritmo_1,1.565
C,2,100,Algoritmo_1,1.346
C,2,100,Algoritmo_1,1.352
C,2,100,Algoritmo_1,1.358
C,2,100,Algoritmo_1,1.347
C,2,100,Algoritmo_1,1.367
C,2,100,Algoritmo_1,1.360
C,2,100,Algoritmo_1,1.830
C,2,100,Algoritmo_1,1.355
C,2,100,Algoritmo_1,1.360
C,2,100,Algoritmo_1,1.406
C,2,100,Algoritmo_1,1.373
C,2,100,Algoritmo_1,1.607
C,2,100,Algoritmo_1,1.373
C,2,100,Algoritmo_1,1.319
C,2,100,Algoritmo_1,1.354
C,2,100,Algoritmo_1,1.371
C,2,100,Algoritmo_1,1.353
C,2,100,Algoritmo_1,1.343
C,4,100,Algoritmo_1,736
C,4,100,Algoritmo_1,725
C,4,100,Algoritmo_1,728
C,4,100,Algoritmo_1,719
C,4,100,Algoritmo_1,729
C,4,100,Algoritmo_1,769
C,4,100,Algoritmo_1,730
C,4,100,Algoritmo_1,728
C,4,100,Algoritmo_1,727
C,4,100,Algoritmo_1,735
C,4,100,Algoritmo_1,696
C,4,100,Algoritmo_1,722
C,4,100,Algoritmo_1,734
C,4,100,Algoritmo_1,713
C,4,100,Algoritmo_1,725
C,4,100,Algoritmo_1,734
C,4,100,Algoritmo_1,730
C,4,100,Algoritmo_1,733
C,4,100,Algoritmo_1,728
C,4,100,Algoritmo_1,710
C,4,100,Algoritmo_1,729
C,4,100,Algoritmo_1,706
C,4,100,Algoritmo_1,726
C,4,100,Algoritmo_1,748
C,4,100,Algoritmo_1,735
C,4,100,Algoritmo_1,715
C,4,100,Algoritmo_1,739
C,4,100,Algoritmo_1,714
C,4,100,Algoritmo_1,718
C,4,100,Algoritmo_1,693
C,4,100,Algoritmo_1,698
C,4,100,Algoritmo_1,698
C,4,100,Algoritmo_1,726
C,4,100,Algoritmo_1,697
C,4,100,Algoritmo_1,722
C,4,100,Algoritmo_1,696
C,8,100,Algoritmo_1,688
C,8,100,Algoritmo_1,685
C,8,100,Algoritmo_1,679
C,8,100,Algoritmo_1,686
C,8,100,Algoritmo_1,682
C,8,100,Algoritmo_1,684
C,8,100,Algoritmo_1,697
C,8,100,Algoritmo_1,684
C,8,100,Algoritmo_1,695
C,8,100,Algoritmo_1,688
C,8,100,Algoritmo_1,692
C,8,100,Algoritmo_1,682
C,8,100,Algoritmo_1,684
C,8,100,Algoritmo_1,686
C,8,100,Algoritmo_1,681
C,8,100,Algoritmo_1,747
C,8,100,Algoritmo_1,689
C,8,100,Algoritmo_1,683
C,8,100,Algoritmo_1,684
C,8,100,Algoritmo_1,683
C,8,100,Algoritmo_1,686
C,8,100,Algoritmo_1,682
C,8,100,Algoritmo_1,684
C,8,100,Algoritmo_1,688
C,8,100,Algoritmo_1,686
C,8,100,Algoritmo_1,682
C,8,100,Algoritmo_1,691
C,8,100,Algoritmo_1,689
C,8,100,Algoritmo_1,682
C,8,100,Algoritmo_1,700
C,8,100,Algoritmo_1,677
C,8,100,Algoritmo_1,691
C,8,100,Algoritmo_1,688
