Node,NumThreads,Load,Algorithm,Time
D,1,100,Algoritmo_1, 0.005958 

D,1,100,Algoritmo_1, 0.005477 

D,1,100,Algoritmo_1, 0.006536 

D,1,100,Algoritmo_1, 0.007071 

D,1,100,Algoritmo_1, 0.007256 

D,1,100,Algoritmo_1, 0.007830 

D,1,100,Algoritmo_1, 0.008164 

D,1,100,Algoritmo_1, 0.002611 

D,1,100,Algoritmo_1, 0.002625 

D,1,100,Algoritmo_1, 0.002545 

D,1,100,Algoritmo_1, 0.002536 

D,1,100,Algoritmo_1, 0.008184 

D,1,100,Algoritmo_1, 0.007781 

D,1,100,Algoritmo_1, 0.005592 

D,1,100,Algoritmo_1, 0.002612 

D,1,100,Algoritmo_1, 0.002544 

D,1,100,Algoritmo_1, 0.008094 

D,1,100,Algoritmo_1, 0.007530 

D,1,100,Algoritmo_1, 0.002902 

D,1,100,Algoritmo_1, 0.002545 

D,1,100,Algoritmo_1, 0.002543 

D,1,100,Algoritmo_1, 0.002537 

D,1,100,Algoritmo_1, 0.002562 

D,1,100,Algoritmo_1, 0.002579 

D,1,100,Algoritmo_1, 0.002552 

D,1,100,Algoritmo_1, 0.002530 

D,1,100,Algoritmo_1, 0.002537 

D,1,100,Algoritmo_1, 0.008043 

D,1,100,Algoritmo_1, 0.002868 

D,1,100,Algoritmo_1, 0.007497 

D,1,100,Algoritmo_1, 0.006246 

D,1,100,Algoritmo_1, 0.002596 

D,1,100,Algoritmo_1, 0.002532 

D,1,100,Algoritmo_1, 0.002540 

D,1,100,Algoritmo_1, 0.006559 

D,1,100,Algoritmo_1, 0.005321 

D,2,100,Algoritmo_1, 0.003302 

D,2,100,Algoritmo_1, 0.003384 

D,2,100,Algoritmo_1, 0.003003 

D,2,100,Algoritmo_1, 0.004068 

D,2,100,Algoritmo_1, 0.002899 

D,2,100,Algoritmo_1, 0.004122 

D,2,100,Algoritmo_1, 0.001325 

D,2,100,Algoritmo_1, 0.001439 

D,2,100,Algoritmo_1, 0.001387 

D,2,100,Algoritmo_1, 0.001324 

D,2,100,Algoritmo_1, 0.001347 

D,2,100,Algoritmo_1, 0.001335 

D,2,100,Algoritmo_1, 0.003395 

D,2,100,Algoritmo_1, 0.001659 

D,2,100,Algoritmo_1, 0.001314 

D,2,100,Algoritmo_1, 0.001341 

D,2,100,Algoritmo_1, 0.003145 

D,2,100,Algoritmo_1, 0.001660 

D,2,100,Algoritmo_1, 0.004075 

D,2,100,Algoritmo_1, 0.002665 

D,2,100,Algoritmo_1, 0.001400 

D,2,100,Algoritmo_1, 0.001318 

D,2,100,Algoritmo_1, 0.001350 

D,2,100,Algoritmo_1, 0.001342 

D,2,100,Algoritmo_1, 0.001318 

D,2,100,Algoritmo_1, 0.001349 

D,2,100,Algoritmo_1, 0.001354 

D,2,100,Algoritmo_1, 0.001322 

D,2,100,Algoritmo_1, 0.001388 

D,2,100,Algoritmo_1, 0.001321 

D,2,100,Algoritmo_1, 0.001339 

D,2,100,Algoritmo_1, 0.001342 

D,2,100,Algoritmo_1, 0.001317 

D,2,100,Algoritmo_1, 0.001358 

D,2,100,Algoritmo_1, 0.001352 

D,2,100,Algoritmo_1, 0.001320 

D,4,100,Algoritmo_1, 0.001567 

D,4,100,Algoritmo_1, 0.001535 

D,4,100,Algoritmo_1, 0.002001 

D,4,100,Algoritmo_1, 0.001589 

D,4,100,Algoritmo_1, 0.001523 

D,4,100,Algoritmo_1, 0.001596 

D,4,100,Algoritmo_1, 0.001507 

D,4,100,Algoritmo_1, 0.001518 

D,4,100,Algoritmo_1, 0.001545 

D,4,100,Algoritmo_1, 0.000886 

D,4,100,Algoritmo_1, 0.001523 

D,4,100,Algoritmo_1, 0.001539 

D,4,100,Algoritmo_1, 0.001547 

D,4,100,Algoritmo_1, 0.000730 

D,4,100,Algoritmo_1, 0.001581 

D,4,100,Algoritmo_1, 0.001588 

D,4,100,Algoritmo_1, 0.001514 

D,4,100,Algoritmo_1, 0.001580 

D,4,100,Algoritmo_1, 0.001581 

D,4,100,Algoritmo_1, 0.001600 

D,4,100,Algoritmo_1, 0.001605 

D,4,100,Algoritmo_1, 0.001531 

D,4,100,Algoritmo_1, 0.002485 

D,4,100,Algoritmo_1, 0.001634 

D,4,100,Algoritmo_1, 0.002218 

D,4,100,Algoritmo_1, 0.001533 

D,4,100,Algoritmo_1, 0.001518 

D,4,100,Algoritmo_1, 0.001541 

D,4,100,Algoritmo_1, 0.001522 

D,4,100,Algoritmo_1, 0.002037 

D,4,100,Algoritmo_1, 0.002243 

D,4,100,Algoritmo_1, 0.001769 

D,4,100,Algoritmo_1, 0.001974 

D,4,100,Algoritmo_1, 0.001531 

D,4,100,Algoritmo_1, 0.001553 

D,4,100,Algoritmo_1, 0.001588 

D,8,100,Algoritmo_1, 0.000896 

D,8,100,Algoritmo_1, 0.000952 

D,8,100,Algoritmo_1, 0.000834 

D,8,100,Algoritmo_1, 0.000930 

D,8,100,Algoritmo_1, 0.000825 

D,8,100,Algoritmo_1, 0.000894 

D,8,100,Algoritmo_1, 0.000896 

D,8,100,Algoritmo_1, 0.000899 

D,8,100,Algoritmo_1, 0.000938 

D,8,100,Algoritmo_1, 0.000880 

D,8,100,Algoritmo_1, 0.000958 

D,8,100,Algoritmo_1, 0.000839 

D,8,100,Algoritmo_1, 0.000578 

D,8,100,Algoritmo_1, 0.000528 

D,8,100,Algoritmo_1, 0.000664 

D,8,100,Algoritmo_1, 0.000845 

D,8,100,Algoritmo_1, 0.000962 

D,8,100,Algoritmo_1, 0.000887 

D,8,100,Algoritmo_1, 0.000927 

D,8,100,Algoritmo_1, 0.000882 

D,8,100,Algoritmo_1, 0.000895 

D,8,100,Algoritmo_1, 0.000880 

D,8,100,Algoritmo_1, 0.001244 

D,8,100,Algoritmo_1, 0.000924 

D,8,100,Algoritmo_1, 0.000881 

D,8,100,Algoritmo_1, 0.001016 

D,8,100,Algoritmo_1, 0.001074 

D,8,100,Algoritmo_1, 0.000895 

D,8,100,Algoritmo_1, 0.000846 

D,8,100,Algoritmo_1, 0.000896 

D,8,100,Algoritmo_1, 0.000894 

D,8,100,Algoritmo_1, 0.000881 

D,8,100,Algoritmo_1, 0.000927 

D,8,100,Algoritmo_1, 0.000519 

D,8,100,Algoritmo_1, 0.000717 

D,8,100,Algoritmo_1, 0.000513 

D,1,100,Algoritmo_2, 0.002735 

D,1,100,Algoritmo_2, 0.002671 

D,1,100,Algoritmo_2, 0.002631 

D,1,100,Algoritmo_2, 0.002620 

D,1,100,Algoritmo_2, 0.008208 

D,1,100,Algoritmo_2, 0.003747 

D,1,100,Algoritmo_2, 0.004837 

D,1,100,Algoritmo_2, 0.002621 

D,1,100,Algoritmo_2, 0.002682 

D,1,100,Algoritmo_2, 0.002691 

D,1,100,Algoritmo_2, 0.002686 

D,1,100,Algoritmo_2, 0.002627 

D,1,100,Algoritmo_2, 0.002624 

D,1,100,Algoritmo_2, 0.002705 

D,1,100,Algoritmo_2, 0.002680 

D,1,100,Algoritmo_2, 0.002626 

D,1,100,Algoritmo_2, 0.008469 

D,1,100,Algoritmo_2, 0.002620 

